Sandpoint U of I,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,3.0,3.0,1.0,1.4,6.0,1.0
Palm Springs - Fire Station,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,,,
Garden City,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,8.0,7.0,1.0,6.3,26.0,1.0
Pinehurst,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,1.4,6.0,1.0
Indio-29 Palms,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,15.0,14.0,1.0,4.6,19.0,1.0
Saul Martinez,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,22.0,20.0,1.0,,,
Linda,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,3.0,3.0,1.0,,,
Salton Sea Beach,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,13.0,12.0,1.0,4.6,19.0,1.0
Glen Oaks,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,5.0,5.0,1.0,,,
Church,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,,,
Manse,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,5.0,5.0,1.0,,,
Elko,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,,,
Westmorland - 570 Cook St,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,34.0,31.0,1.0,,,
El Centro - 9th Street,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,48.0,44.0,1.0,18.3,64.0,2.0
Libby Courthouse,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,1.0,1.0,1.0,3.2,13.0,1.0
Niland - English Road,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,39.0,36.0,1.0,,,
Brawley - 220 Main Street,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,24.0,22.0,1.0,5.9,25.0,1.0
Jean,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,8.0,7.0,1.0,3.2,13.0,1.0
Palo Verde,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,2.5,10.0,1.0
Thompson Falls HS,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,12.0,11.0,1.0,4.9,20.0,1.0
Mountains Edge,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,8.0,7.0,1.0,3.2,13.0,1.0
Walter Johnson,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,3.9,16.0,1.0
Paul Meyer,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,11.0,10.0,1.0,4.2,18.0,1.0
Joe Neal,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,16.0,15.0,1.0,6.9,29.0,1.0
Liberty High School,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,14.0,13.0,1.0,4.9,20.0,1.0
Sunrise Acres,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,41.0,38.0,1.0,20.5,69.0,2.0
Walnut Rec.,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,30.0,28.0,1.0,12.4,52.0,2.0
Jerome Mack,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,36.0,33.0,1.0,17.1,62.0,2.0
GreenValley,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,12.0,11.0,1.0,5.4,23.0,1.0
Elkford Rocky Mountain Elementary School,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,3.0,3.0,1.0,1.4,6.0,1.0
Sparwood Centennial Square,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,2.4,10.0,1.0
Garrett Jr. High,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,5.0,5.0,1.0,2.1,9.0,1.0
