datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-25T16:00,PM10,11.0,10,1,Toll
2022-12-25T16:00,PM2.5,10.9,45,1,Fresno-Pacific
2022-12-25T16:00,PM2.5,7.7,32,1,Ranchos
2022-12-25T16:00,PM2.5,15.8,59,2,Spanish Springs
2022-12-25T16:00,PM2.5,11.7,49,1,Clovis - N. Villa Ave
2022-12-25T16:00,PM10,13.0,12,1,Clovis - N. Villa Ave
2022-12-25T16:00,PM2.5,4.1,17,1,Santa Barbara
2022-12-25T16:00,PM10,4.0,4,1,Santa Barbara
2022-12-25T16:00,PM2.5,10.2,43,1,Hanford - S. Irwin Street
2022-12-25T16:00,PM10,12.0,11,1,Hanford - S. Irwin Street
2022-12-25T16:00,PM2.5,24.5,77,2,Omak-Colville Tribe
2022-12-25T16:00,PM2.5,5.4,23,1,Kelowna KLO Road
2022-12-25T16:00,PM10,5.0,5,1,Kelowna KLO Road
2022-12-25T16:00,PM2.5,6.8,28,1,Beaverlodge
2022-12-25T16:00,PM2.5,15.8,59,2,Visalia - W Ashland Avenue
2022-12-25T16:00,PM10,14.0,13,1,Wadsworth-NV
2022-12-25T16:00,PM2.5,10.4,43,1,Moses Lake-Balsam St
2022-12-25T16:00,PM2.5,6.5,27,1,Vernon Science Centre
2022-12-25T16:00,PM10,7.0,6,1,Vernon Science Centre
2022-12-25T16:00,PM2.5,1.8,8,1,Valemount
2022-12-25T16:00,PM2.5,10.4,43,1,Hermiston - Municipal Airport
2022-12-25T16:00,PM2.5,4.8,20,1,Kennewick-S Clodfelter Rd (SOS)
2022-12-25T16:00,PM2.5,1.7,7,1,Ojai - Ojai Ave.
2022-12-25T16:00,PM2.5,6.3,26,1,Kennewick-Metaline
2022-12-25T16:00,PM10,5.0,5,1,Kennewick-Metaline
2022-12-25T16:00,PM10,3.0,3,1,El Rio - Rio Mesa School #2
2022-12-25T16:00,PM2.5,0.0,0,1,El Rio - Rio Mesa School #2
2022-12-25T16:00,PM2.5,2.4,10,1,Lee Vining
2022-12-25T16:00,PM10,3.0,3,1,Lee Vining
2022-12-25T16:00,PM2.5,22.3,72,2,Bakersfield - California Ave
2022-12-25T16:00,PM2.5,14.1,55,2,Porterville-NFS
2022-12-25T16:00,PM2.5,13.4,54,2,Burns - Washington St.
2022-12-25T16:00,PM2.5,0.0,0,1,Pinehurst
2022-12-25T16:00,PM10,27.0,25,1,Oildale - 3311 Manor Street
2022-12-25T16:00,PM2.5,32.6,94,2,Bakersfield - Golden State Highway
2022-12-25T16:00,PM10,32.0,30,1,Bakersfield - Golden State Highway
2022-12-25T16:00,PM2.5,7.0,29,1,Burbank-Maple Street
2022-12-25T16:00,PM10,12.0,11,1,Burbank-Maple Street
2022-12-25T16:00,PM2.5,9.5,40,1,Mesa-Pepoit Way (temp SO)
2022-12-25T16:00,PM10,18.0,17,1,Mammoth Lakes
2022-12-25T16:00,PM2.5,4.0,17,1,PM2.5 Mammoth Lakes EBAM
2022-12-25T16:00,PM2.5,7.0,29,1,John Day Dayton St
2022-12-25T16:00,PM2.5,5.0,21,1,Thousand Oaks - Moorpark Road
2022-12-25T16:00,PM2.5,1.0,4,1,Lebec
2022-12-25T16:00,PM2.5,0.7,3,1,Sequoia and Kings Canyon - Ash Mountain
2022-12-25T16:00,PM2.5,10.1,42,1,Pendleton - McKay Creek
2022-12-25T16:00,PM2.5,15.4,58,2,Springville
2022-12-25T16:00,PM2.5,0.8,3,1,Piru - Pacific
2022-12-25T16:00,PM2.5,7.4,31,1,Grande Prairie - Henry Pirker
2022-12-25T16:00,PM2.5,1.4,6,1,Simi Valley - Cochran Street
2022-12-25T16:00,PM10,2.0,2,1,Simi Valley - Cochran Street
2022-12-25T16:00,PM2.5,20.3,68,2,Reseda
2022-12-25T16:00,PM2.5,6.4,27,1,Santa Clarita
2022-12-25T16:00,PM2.5,26.3,81,2,Bishop Paiute Tribe-CA
2022-12-25T16:00,PM10,14.0,13,1,Bishop Paiute Tribe-CA
2022-12-25T16:00,PM2.5,9.0,38,1,Ritzville-Alder St 
2022-12-25T16:00,PM2.5,13.8,55,2,North Holywood
2022-12-25T16:00,PM2.5,8.7,36,1,Walla Walla-12th St
