datetime,pm_25_conc,pm_25_AQI,pm_25_AQI_cat,station_name
2022-12-24T00:00,12.7,52,2,Glendale Community College
2022-12-24T00:00,15.7,59,2,West Phoenix
2022-12-24T00:00,20.0,68,2,Durango Complex
2022-12-24T00:00,12.8,52,2,Phoenix JLG Supersite
2022-12-24T00:00,16.2,60,2,South Phoenix
2022-12-24T00:00,11.0,46,1,North Phoenix
2022-12-24T00:00,1.4,6,1,Idaho Falls PM2.5
2022-12-24T00:00,9.8,41,1,Hidden Valley
2022-12-24T00:00,23.9,76,2,Herriman #3
2022-12-24T00:00,14.2,55,2,Eastwood
2022-12-24T00:00,3.4,14,1,Harrisville
2022-12-24T00:00,21.6,71,2,Utah Tech. Center
2022-12-24T00:00,9.0,38,1,Tempe
2022-12-24T00:00,21.8,71,2,Rose Park
2022-12-24T00:00,31.8,92,2,NR
2022-12-24T00:00,30.2,89,2,Copper View
2022-12-24T00:00,21.7,71,2,BV
2022-12-24T00:00,21.9,72,2,Hawthorne
2022-12-24T00:00,7.9,33,1,Mesa - Brooks Reservoir
2022-12-24T00:00,6.9,29,1,Preston PM25 BAM
2022-12-24T00:00,13.4,54,2,Smithfield
2022-12-24T00:00,4.1,17,1,Casa Grande Downtown
2022-12-24T00:00,22.4,73,2,Lindon
2022-12-24T00:00,19.1,66,2,Cave Camp - Timpanogos Cave
2022-12-24T00:00,23.3,75,2,Spanish Fork
2022-12-24T00:00,0.0,0,1,Coachline
2022-12-24T00:00,1.6,7,1,West Yellowstone Park Ent #2
2022-12-24T00:00,5.0,21,1,Orange Grove
2022-12-24T00:00,0.0,0,1,Green Valley
2022-12-24T00:00,3.2,13,1,Children's Park Site
2022-12-24T00:00,0.3,1,1,Rose Elementary
2022-12-24T00:00,2.3,10,1,Geronimo
2022-12-24T00:00,6.4,27,1,Nogales ITN
2022-12-24T00:00,8.1,34,1,Nogales Post Office
2022-12-24T00:00,2.3,10,1,Yellowstone- Old Faithful Snow Lodge
2022-12-24T00:00,4.8,20,1,Roosevelt
2022-12-24T00:00,4.4,18,1,Vernal #4
2022-12-24T00:00,3.9,16,1,"Rangely, CO"
2022-12-24T00:00,3.4,14,1,Grand Junction - Powell Building
2022-12-24T00:00,1.0,4,1,Ute 3
2022-12-24T00:00,1.9,8,1,Ute 1
2022-12-24T00:00,1.4,6,1,Yellow Brick Building
2022-12-24T00:00,6.0,25,1,Las Cruces ED
2022-12-24T00:00,9.1,38,1,Santa Teresa
2022-12-24T00:00,8.5,35,1,Jefferson
2022-12-24T00:00,7.7,32,1,North Valley
2022-12-24T00:00,6.7,28,1,Anthony
2022-12-24T00:00,6.9,29,1,Tramway
2022-12-24T00:00,13.1,53,2,Ascarate Park Southeast C37
2022-12-24T00:00,3.0,13,1,Socorro Hueco C49
2022-12-24T00:00,1.9,8,1,Santa Fe Airport
2022-12-24T00:00,1.4,6,1,Taos Fire Station
2022-12-24T00:00,8.8,37,1,Boulder - CU - 2102 Athens St.
2022-12-24T00:00,14.1,55,2,Longmont
2022-12-24T00:00,13.2,53,2,Ft. Collins - CSU Facilities
2022-12-24T00:00,15.8,59,2,Chatfield Park - 11500 N. Roxborough Park Rd.
2022-12-24T00:00,5.7,24,1,I25 Denver
2022-12-24T00:00,13.5,54,2,La Casa NCORE - 4545 Navajo St.
2022-12-24T00:00,10.7,45,1,Globeville
2022-12-24T00:00,13.7,54,2,Denver - CAMP - 2105 Broadway
2022-12-24T00:00,12.5,52,2,Denver - NJH - 14th Ave. & Albion St.
2022-12-24T00:00,10.7,45,1,Adams-Birch
2022-12-24T00:00,2.4,10,1,Colorado College
2022-12-24T00:00,4.7,20,1,Greeley Hospital
2022-12-24T00:00,1.5,6,1,WIND CAVE
2022-12-24T00:00,1.7,7,1,Badlands
2022-12-24T00:00,0.0,0,1,Pierre
2022-12-24T00:00,3.3,14,1,Cedar Bluff
2022-12-24T00:00,1.9,8,1,Seiling
2022-12-24T00:00,3.9,16,1,San Antonio Old Hwy90 C677
2022-12-24T00:00,2.2,9,1,Grand Island DOT
2022-12-24T00:00,3.3,14,1,Near Road OKC
2022-12-24T00:00,3.6,15,1,Moore
2022-12-24T00:00,2.3,10,1,Healdton
2022-12-24T00:00,3.0,13,1,North OKC
2022-12-24T00:00,3.0,13,1,PECK
2022-12-24T00:00,3.9,16,1,WHlthDpt
2022-12-24T00:00,4.9,20,1,Watertown
2022-12-24T00:00,3.5,15,1,Ponca City
2022-12-24T00:00,4.7,20,1,Waco C1037
2022-12-24T00:00,5.6,23,1,Vermillion
2022-12-24T00:00,0.0,0,1,Homestead NHP
2022-12-24T00:00,1.0,4,1,LLCHD BAM
