station_name,datetime,pm_10_conc,pm_10_AQI,pm_10_cat,pm_25_conc,pm_25_AQI,pm_25_AQI_cat
GRAND RAPIDS,2022-12-24T00:00,55.0,51.0,2.0,4.0,17.0,1.0
Cannons Lane,2022-12-24T00:00,18.0,17.0,1.0,6.8,28.0,1.0
Carrithers Middle School,2022-12-24T00:00,18.0,17.0,1.0,7.4,31.0,1.0
Rossville-Williams St,2022-12-24T00:00,14.0,13.0,1.0,7.7,32.0,1.0
Columbus Airport,2022-12-24T00:00,7.0,6.0,1.0,3.5,15.0,1.0
Taft NCore,2022-12-24T00:00,16.0,15.0,1.0,6.3,26.0,1.0
Gwinnett Tech,2022-12-24T00:00,8.0,7.0,1.0,4.5,19.0,1.0
Gainesville,2022-12-24T00:00,8.0,7.0,1.0,4.2,18.0,1.0
Warner Robins,2022-12-24T00:00,5.0,5.0,1.0,2.9,12.0,1.0
Macon Forestry,2022-12-24T00:00,7.0,6.0,1.0,3.4,14.0,1.0
Athens,2022-12-24T00:00,9.0,8.0,1.0,4.6,19.0,1.0
DEARBORN,2022-12-24T00:00,76.0,61.0,2.0,13.4,54.0,2.0
Sandersville,2022-12-24T00:00,15.0,14.0,1.0,5.7,24.0,1.0
Greenville-ESC,2022-12-24T00:00,7.0,6.0,1.0,3.4,14.0,1.0
GT Craig NCore,2022-12-24T00:00,119.0,83.0,2.0,,,
Palatka,2022-12-24T00:00,6.0,6.0,1.0,,,
Kooker Park,2022-12-24T00:00,7.0,6.0,1.0,5.8,24.0,1.0
Mandarin,2022-12-24T00:00,6.0,6.0,1.0,3.4,14.0,1.0
Seminole Community College (AG COMP),2022-12-24T00:00,12.0,11.0,1.0,3.8,16.0,1.0
Savannah L&A,2022-12-24T00:00,8.0,7.0,1.0,3.4,14.0,1.0
Cayce City Hall,2022-12-24T00:00,8.0,7.0,1.0,,,
Blind Services; 1185-A Dunn Ave,2022-12-24T00:00,13.0,12.0,1.0,5.3,22.0,1.0
Ramblewood Park,2022-12-24T00:00,6.0,6.0,1.0,,,
GARINGER,2022-12-24T00:00,3.0,3.0,1.0,2.5,10.0,1.0
HATTIEAVEN,2022-12-24T00:00,9.0,8.0,1.0,4.0,17.0,1.0
Jenkins Avenue,2022-12-24T00:00,7.0,6.0,1.0,,,
MENDNHAL,2022-12-24T00:00,8.0,7.0,1.0,2.4,10.0,1.0
W OWEN SCH,2022-12-24T00:00,7.0,6.0,1.0,,,
Durham Armory,2022-12-24T00:00,4.0,4.0,1.0,5.8,24.0,1.0
Burdens Creek,2022-12-24T00:00,9.0,8.0,1.0,4.0,17.0,1.0
Millbrook NCore,2022-12-24T00:00,8.0,7.0,1.0,3.6,15.0,1.0
LESTER BUILDING SYSTEMS  NEAR REST,2022-12-24T00:00,9.0,8.0,1.0,4.3,18.0,1.0
CASTLE H,2022-12-24T00:00,9.0,8.0,1.0,4.2,18.0,1.0
MATH & SCIENCE CTR,2022-12-24T00:00,9.0,8.0,1.0,4.3,18.0,1.0
