datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-29T02:00,PM2.5,2.0,8,1,Bend Pine Ridge Elementary School
2022-12-29T02:00,PM2.5,2.3,10,1,Bend - Pump Station
2022-12-29T02:00,PM2.5,2.4,10,1,Bend NE 8th & Emerson
2022-12-29T02:00,PM2.5,6.7,28,1,Stockton - University Park
2022-12-29T02:00,PM2.5,2.7,11,1,Bend Ponderosa Elementary School
2022-12-29T02:00,PM2.5,9.3,39,1,Roseville - N.Sunrise/Douglas
2022-12-29T02:00,PM10,18.0,17,1,Roseville - N.Sunrise/Douglas
2022-12-29T02:00,PM2.5,22.5,73,2,Chester BAM
2022-12-29T02:00,PM2.5,4.8,20,1,Manteca
2022-12-29T02:00,PM10,15.0,14,1,Manteca
2022-12-29T02:00,PM2.5,6.6,28,1,Sloughhouse
2022-12-29T02:00,PM2.5,4.5,19,1,The Dalles - Cherry Heights
2022-12-29T02:00,PM2.5,2.3,10,1,Redmond High School
2022-12-29T02:00,PM2.5,6.6,28,1,Folsom
2022-12-29T02:00,PM2.5,5.7,24,1,Madras - Westside School
2022-12-29T02:00,PM10,17.0,16,1,King City AMS
2022-12-29T02:00,PM2.5,3.1,13,1,King City AMS
2022-12-29T02:00,PM2.5,5.3,22,1,Auburn
2022-12-29T02:00,PM2.5,2.0,8,1,Grass Valley
2022-12-29T02:00,PM2.5,2.5,10,1,Cle Elum Mobile
2022-12-29T02:00,PM2.5,11.2,47,1,Colfax
2022-12-29T02:00,PM2.5,11.8,49,1,Quincy
2022-12-29T02:00,PM2.5,8.3,35,1,FORT ST JOHN LEARNING CENTRE
2022-12-29T02:00,PM10,11.0,10,1,FORT ST JOHN LEARNING CENTRE
2022-12-29T02:00,PM2.5,8.9,37,1,Prineville - Davidson Park
2022-12-29T02:00,PM2.5,12.3,51,2,Turlock - S. Minaret Street
2022-12-29T02:00,PM10,26.0,24,1,Turlock - S. Minaret Street
2022-12-29T02:00,PM2.5,4.5,19,1,San Andreas
2022-12-29T02:00,PM10,7.0,6,1,San Andreas
2022-12-29T02:00,PM2.5,6.1,25,1,Leavenworth-Evans St
2022-12-29T02:00,PM10,11.0,10,1,Paso Robles - Santa Fe Ave
2022-12-29T02:00,PM2.5,9.9,41,1,SLO Roberto
2022-12-29T02:00,PM10,20.0,19,1,SLO Roberto
2022-12-29T02:00,PM2.5,6.8,28,1,Peshastin Mobile
2022-12-29T02:00,PM10,41.0,38,1,Nipomo Mesa CDF
2022-12-29T02:00,PM2.5,9.0,38,1,Nipomo Mesa CDF
2022-12-29T02:00,PM2.5,8.1,34,1,Mesa 2 /Nipomo
2022-12-29T02:00,PM10,34.0,31,1,Mesa 2 /Nipomo
2022-12-29T02:00,PM2.5,2.1,9,1,Ellensburg-Ruby St
2022-12-29T02:00,PM2.5,2.8,12,1,MMCA82034
2022-12-29T02:00,PM2.5,8.7,36,1,Yakima-4th Ave
2022-12-29T02:00,PM10,25.0,23,1,Yakima-4th Ave
2022-12-29T02:00,PM10,27.0,25,1,Nipomo RP
2022-12-29T02:00,PM2.5,8.2,34,1,Merced-M St
2022-12-29T02:00,PM10,22.0,20,1,Merced-M St
2022-12-29T02:00,PM2.5,22.4,73,2,Cashmere Mobile
2022-12-29T02:00,PM2.5,26.2,81,2,Portola
2022-12-29T02:00,PM2.5,7.6,32,1,Lompoc H Street
2022-12-29T02:00,PM10,24.0,22,1,Lompoc H Street
2022-12-29T02:00,PM2.5,7.5,31,1,Merced - S. Coffee Ave
2022-12-29T02:00,PM2.5,7.8,33,1,Santa Maria
2022-12-29T02:00,PM10,19.0,18,1,Santa Maria
2022-12-29T02:00,PM2.5,6.0,25,1,Tranquillity
2022-12-29T02:00,PM2.5,3.5,15,1,Lakeview - Center & M
2022-12-29T02:00,PM2.5,7.2,30,1,Wenatchee-Fifth St
2022-12-29T02:00,PM2.5,13.1,53,2,Kamloops Federal Building
2022-12-29T02:00,PM2.5,2.5,10,1,Toppenish-Yakama Tribe
2022-12-29T02:00,PM2.5,3.4,14,1,Truckee BAM
2022-12-29T02:00,PM2.5,3.3,14,1,Tahoe City
2022-12-29T02:00,PM2.5,3.6,15,1,MMCA82019
2022-12-29T02:00,PM2.5,3.5,15,1,Huron
2022-12-29T02:00,PM2.5,5.8,24,1,Santa Ynez
2022-12-29T02:00,PM10,13.0,12,1,Las Flores Canyon
2022-12-29T02:00,PM2.5,7.5,31,1,Madera-City
2022-12-29T02:00,PM10,16.0,15,1,Madera-City
2022-12-29T02:00,PM2.5,1.6,7,1,Chelan-Woodin Ave
2022-12-29T02:00,PM2.5,7.3,30,1,Sunnyside-S 16th
2022-12-29T02:00,PM10,6.0,6,1,South Lake Tahoe - Sandy Way
2022-12-29T02:00,PM2.5,2.0,8,1,Quincy 3rd
2022-12-29T02:00,PM10,15.0,14,1,Goleta
2022-12-29T02:00,PM2.5,3.2,13,1,Goleta
2022-12-29T02:00,PM10,6.0,6,1,Reno4
2022-12-29T02:00,PM2.5,0.2,1,1,Reno4
2022-12-29T02:00,PM2.5,10.2,43,1,Brewster Mobile
2022-12-29T02:00,PM2.5,9.7,40,1,Fresno-Foundry Park
2022-12-29T02:00,PM2.5,7.0,29,1,Fresno - Garland
2022-12-29T02:00,PM10,25.0,23,1,Fresno - Garland
2022-12-29T02:00,PM2.5,0.4,2,1,CC_Armory
2022-12-29T02:00,PM10,21.0,19,1,Santa Rosa Rancheria
2022-12-29T02:00,PM2.5,3.2,13,1,Prosser-Highland Dr
2022-12-29T02:00,PM2.5,3.4,14,1,Sparks
2022-12-29T02:00,PM10,8.0,7,1,Sparks
2022-12-29T02:00,PM10,29.0,27,1,Fresno - Drummond Street
2022-12-29T02:00,PM10,19.0,18,1,Toll
2022-12-29T02:00,PM2.5,1.1,5,1,Toll
2022-12-29T02:00,PM2.5,10.4,43,1,Fresno-Pacific
2022-12-29T02:00,PM2.5,3.6,15,1,Ranchos
